Date/Time,OAT,OCCU,Solar,Lux,IAT,C38130:Zone Air Heat Balance Surface Convection Rate [W](TimeStep),ZoneCO2,DAT,VAV_SYSTEM SUPPLY FAN OUTLET:System Node Pressure [Pa](TimeStep),SupplyFlow,SupplyCO2
 06/01  10:20:00,21.13170833,1,79802.17889,211.4587193,22.39692129,160.3164155,585.2545769,12.80009629,100006.3815,1.52E-02,560.4145775
 06/01  10:25:00,21.26504167,1,80592.93467,211.8596543,22.43939085,159.5707403,590.0661897,12.80009418,100006.1774,1.52E-02,565.0165683
 06/01  10:30:00,21.398375,1,81345.30645,212.1566794,22.4817942,158.8641961,594.4813997,12.8000921,100005.9733,1.52E-02,569.2389238
 06/01  10:35:00,21.53170833,1,84801.17119,219.0644959,22.52536841,158.6561165,598.5333763,12.80009028,100005.7692,1.52E-02,573.1134222
 06/01  10:40:00,21.66504167,1,90725.9667,224.3656312,22.57249841,159.2138204,602.2524251,12.80008914,100005.565,1.52E-02,576.6691709
 06/01  10:45:00,21.798375,1,93388.56749,230.5000042,22.6222855,159.0091872,605.6662789,12.800089,100005.3609,1.52E-02,579.932764
 06/01  10:50:00,21.93170833,1,95825.71719,236.2049891,22.67301958,158.5685594,608.800387,12.80008859,100005.1568,1.52E-02,582.928538
 06/01  10:55:00,22.06504167,1,98046.9076,242.2793364,22.72391376,158.1934947,611.6781181,12.80008761,100004.9527,1.52E-02,585.6788255
 06/01  11:00:00,22.198375,1,100062.9549,247.0738533,22.77501899,157.924546,614.3209046,12.80008642,100004.7486,1.52E-02,588.2041334
 06/01  11:05:00,22.34004167,1,101885.7946,252.8431883,22.82715759,157.8015607,616.7479429,12.80009505,100004.2383,1.52E-02,590.5232694
 06/01  11:10:00,22.48170833,1,103528.2401,257.7367943,22.88057262,157.6224598,618.9769807,12.80009722,100003.7281,1.52E-02,592.6530789
 06/01  11:15:00,22.623375,1,105003.7069,261.729691,22.93512401,157.4321767,621.0244645,12.80010097,100003.2178,1.52E-02,594.6091361
 06/01  11:20:00,22.76504167,1,106325.9063,264.7952236,22.99055104,157.2278281,622.9055528,12.80010471,100002.7075,1.52E-02,596.4058735
 06/01  11:25:00,22.90670833,1,107508.514,266.9050302,23.04663866,157.0218462,624.6341578,12.80010779,100002.1972,1.52E-02,598.0565931
 06/01  11:30:00,23.048375,1,108564.8185,268.0289918,23.10324478,156.8172744,626.2230254,12.80011016,100001.687,1.52E-02,599.5735034
 06/01  11:35:00,23.19004167,1,105315.7677,273.831591,23.15747584,155.3996242,627.6839205,12.80011197,100001.1767,1.52E-02,600.9677892
 06/01  11:40:00,23.33170833,1,103653.8462,270.790042,23.20892344,154.4334469,629.0276897,12.80011242,100000.6664,1.52E-02,602.2497748
 06/01  11:45:00,23.473375,1,97429.7864,277.1330906,23.25600893,152.5684802,630.2643486,12.80011249,100000.1561,1.52E-02,603.4289785
 06/01  11:50:00,23.61504167,1,95394.62169,272.5411238,23.30015885,151.5205154,631.4030627,12.80011187,99999.64587,1.52E-02,604.5141891
 06/01  11:55:00,23.75670833,1,93906.0711,267.2324942,23.34331193,150.7244811,632.4521435,12.80011161,99999.1356,1.52E-02,605.5134499
 06/01  12:00:00,23.898375,1,90443.47537,269.6471635,23.38508702,149.3389875,633.4191666,12.80011148,99998.62532,1.52E-02,606.4340543
