Date/Time,C38130:Zone Outdoor Air Drybulb Temperature [C](TimeStep),OCCU,C38130:Zone Windows Total Transmitted Solar Radiation Energy [J](TimeStep),C38130:Daylighting Reference Point 1 Illuminance [lux](TimeStep),C38130:Zone Mean Air Temperature [C](TimeStep),C38130:Zone Air Heat Balance Surface Convection Rate [W](TimeStep),ZoneCO2,VAV_SYSTEM SUPPLY FAN OUTLET:System Node Temperature [C](TimeStep),VAV_SYSTEM SUPPLY FAN OUTLET:System Node Pressure [Pa](TimeStep),SupplyFlow,SupplyCO2
 07/30  02:00:00,18.198375,0,0,0,20.94567288,230.8912197,420.0002046,12.8001928,99939.68173,1.57E-02,420.0002044
 07/30  02:05:00,18.198375,0,0,0,20.93822806,230.3821629,420.0001804,12.8001964,99938.9869,1.57E-02,420.0001802
 07/30  02:10:00,18.198375,0,0,0,20.93035894,229.9430627,420.0001591,12.80019826,99938.29208,1.57E-02,420.0001589
 07/30  02:15:00,18.198375,0,0,0,20.92226437,229.5556348,420.0001403,12.80020095,99937.59726,1.57E-02,420.0001402
 07/30  02:20:00,18.198375,0,0,0,20.91413329,229.1860603,420.0001237,12.80020371,99936.90243,1.57E-02,420.0001236
 07/30  02:25:00,18.198375,0,0,0,20.90604573,228.8165588,420.0001091,12.80020615,99936.20761,1.57E-02,420.000109
 07/30  02:30:00,18.198375,0,0,0,20.89800644,228.4443236,420.0000962,12.8002082,99935.51278,1.57E-02,420.0000961
 07/30  02:35:00,18.198375,0,0,0,20.89000009,228.071888,420.0000849,12.80020991,99934.81796,1.57E-02,420.0000848
 07/30  02:40:00,18.198375,0,0,0,20.88691749,229.8788326,420.0000748,12.80021134,99934.12314,1.57E-02,420.0000748
 07/30  02:45:00,18.198375,0,0,0,20.88478229,228.9088893,420.000066,12.80021526,99933.42831,1.57E-02,420.0000659
 07/30  02:50:00,18.198375,0,0,0,20.88076515,228.085889,420.0000582,12.80021678,99932.73349,1.57E-02,420.0000581
 07/30  02:55:00,18.198375,0,0,0,20.87482351,227.5846379,420.0000513,12.80021661,99932.03867,1.57E-02,420.0000513
 07/30  03:00:00,18.198375,0,0,0,20.86800539,227.2653847,420.0000453,12.80021632,99931.34384,1.57E-02,420.0000452
 07/30  03:05:00,18.21504167,0,0,0,20.86190485,226.8893683,420.0000399,12.80021326,99931.34384,1.57E-02,420.0000399
